Country,Region,Year,Overall_Score,Property_Rights,Government_Integrity,Judicial_Effectiveness,Tax_Burden,Government_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom
Spain,Europe,2024,63.3,87.2,64,73.6,57,26,0,79.7,63.6,74.1,84.2,80,70
Sri Lanka,Asia-Pacific,2024,49.2,51.8,36.9,49.4,77.5,88.2,0,53.4,55.1,49.2,69.2,30,30
Saint Lucia,Americas,2024,62.2,67.2,58.4,74.4,77.3,76.8,28.8,69.5,57.9,75.9,60,60,40
Saint Vincent and the Grenadines,Americas,2024,59.8,66.7,62.3,77.3,76.3,61.1,4.5,65.4,59.6,77,57.8,70,40
Sudan,Sub-Saharan Africa,2024,33.9,12.5,19.5,4.8,85,95.1,66.5,27.7,41.8,0,29.6,5,20
Suriname,Americas,2024,46.7,41.9,38.1,45.4,70.8,69.8,0,53.3,63.4,44.1,64.2,40,30
Sweden,Europe,2024,77.5,96.2,93.2,95.4,50.6,28.5,97.1,84.9,65.9,74.4,79.2,85,80
Switzerland,Europe,2024,83,94.2,91.3,98.1,70.4,64.6,95.7,89.3,60.7,80.8,86.4,85,80
Syria,Middle East/North Africa,2024,,,,,,,,,,,,,
Taiwan,Asia-Pacific,2024,80,82.2,73.4,94,79.2,90.5,90.3,84.9,69.1,80.1,86.4,70,60
Tajikistan,Asia-Pacific,2024,51.3,29.4,17.3,12.4,92.6,76.1,93,56.2,43.7,67.8,72.2,25,30
Tanzania,Sub-Saharan Africa,2024,59.1,45.4,36.8,28.8,80.6,90.7,79.9,47.4,62.2,72.2,60.6,55,50
Thailand,Asia-Pacific,2024,59,45,38.1,35.2,81.1,80.3,46.8,70.3,56.3,66.7,72.8,55,60
Timor-Leste,Asia-Pacific,2024,50.2,39.9,44.3,36.2,97.9,29.5,19.9,63.8,56.4,70,80,45,20
Togo,Sub-Saharan Africa,2024,50.9,36.6,27.5,37,69.6,83,19.9,51.2,51.9,69.1,65,60,40
Tonga,Asia-Pacific,2024,59.2,63,44.9,68.8,85.4,40.1,95.9,59.7,56.4,64.4,71.8,40,20
Trinidad and Tobago,Americas,2024,60.4,58.1,44.8,59.8,79.9,69.6,21.1,76,60.4,76.7,68.6,60,50
Tunisia,Middle East/North Africa,2024,48.8,60.8,42.4,40.5,74.9,64.7,7.3,52.9,55.9,72.7,53.2,30,30
Turkey,Europe,2024,56.2,40.6,35,24.4,72.5,71,77.5,59.2,54.6,38.5,70.8,70,60
Turkmenistan,Asia-Pacific,2024,46.3,18.1,7.8,10,94.3,96.7,99.9,37.3,30.3,67.4,74.2,10,10
Uganda,Sub-Saharan Africa,2024,50.7,47.3,23.9,29.2,73.5,86.8,18.3,49,54.9,75.1,55.8,55,40
Ukraine,Europe,2024,,23,32.5,30.4,,,,,,,73.2,,
United Arab Emirates,Middle East/North Africa,2024,71.1,64.8,64.9,35.2,100,78.4,98.1,80.2,65.3,78.3,78,50,60
United Kingdom,Europe,2024,68.6,94.6,84.1,84.3,62.3,34.3,0,82.7,63.2,73.6,83.6,80,80
United States,Americas,2024,70.1,95.1,74.8,76.4,74.8,48.7,0,84.8,77.7,73.8,75.6,80,80
Uruguay,Americas,2024,69.8,84.8,78.1,81.1,73.8,71.6,75.9,83.9,61,66.2,71.2,60,30
Uzbekistan,Asia-Pacific,2024,55.9,32.9,29.1,15.3,92.8,70.4,72.1,61,48.2,63.6,75.6,60,50
Vanuatu,Asia-Pacific,2024,62.2,63.3,47.9,71,98.8,45,90.4,55.1,40.1,69.9,59.6,65,40
Venezuela,Americas,2024,28.1,0,6.4,3.3,75.9,96.6,36.5,31,35.7,0,42.2,0,10
Vietnam,Asia-Pacific,2024,62.8,49.6,38.7,35.4,80.4,87.9,94.6,73.9,54.6,69.3,79.8,40,50
Yemen,Middle East/North Africa,2024,,5.7,6.9,8.3,,,,,,,,,
Zambia,Sub-Saharan Africa,2024,48.4,36.2,30,44.1,74.1,71.7,0.6,49,40.4,66.2,63.4,55,50
Zimbabwe,Sub-Saharan Africa,2024,38.2,20.2,19.8,16,74.6,92.1,78.5,39,32.8,0,50.4,25,10
